y_number,t250,t100,t50,t25,t10,t5,t2,t0,wg_number,clustercode,reference_name,pipeline_time,pipeline_date
Y19-2139,1,1,2,109,144,156,161,171,WG19-00054,RT015_TL174.1.1.2.109.144.156,RT015_TL174,,
2615-SP,1,1,2,109,144,156,161,171,WG19-00054,RT015_TL174.1.1.2.109.144.156,RT015_TL174,,
Y19-3047,1,1,2,109,144,156,161,171,WG19-00054,RT015_TL174.1.1.2.109.144.156,RT015_TL174,1457,2019-09-09
Y19-3205-SP,1,1,2,147,197,224,233,260,WG19-00074,RT015_TL174.1.1.2.147.197.224,RT015_TL174,1157,2019-09-16
3205-SP,1,1,2,147,197,224,233,260,WG19-00074,RT015_TL174.1.1.2.147.197.224,RT015_TL174,1157,2019-09-16
Y19-3205-R,1,1,2,147,197,224,233,260,WG19-00074,RT015_TL174.1.1.2.147.197.224,RT015_TL174,1157,2019-09-16
3205-R,1,1,2,147,197,224,233,260,WG19-00074,RT015_TL174.1.1.2.147.197.224,RT015_TL174,1157,2019-09-16
D2063,1,1,2,2,105,112,115,120,WG19-00045,RT015_TL174.1.1.2.2.105.112,RT015_TL174,,
D2064,1,1,2,2,105,112,115,120,WG19-00045,RT015_TL174.1.1.2.2.105.112,RT015_TL174,,
TC_D2068,1,1,2,2,105,112,115,120,WG19-00045,RT015_TL174.1.1.2.2.105.112,RT015_TL174,,
D783A,1,1,2,2,111,118,121,126,WG19-00046,RT015_TL174.1.1.2.2.111.118,RT015_TL174,,
D932.r1,1,1,2,2,111,118,121,126,WG19-00046,RT015_TL174.1.1.2.2.111.118,RT015_TL174,,
D790A,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
D862AUTO,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
D862MANUAL,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
D938,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
TC_D862,1,1,2,2,112,119,122,127,WG19-00047,RT015_TL174.1.1.2.2.112.119,RT015_TL174,,
TC_D1709,1,1,2,91,120,127,130,135,WG19-00070,RT015_TL174.1.1.2.2.120.127,RT015_TL174,,
Y2421,1,1,2,91,120,127,130,135,WG19-00070,RT015_TL174.1.1.2.2.120.127,RT015_TL174,,
Y19-2188,1,1,2,3,172,192,198,214,WG19-00071,RT015_TL174.1.1.2.2.172.192,RT015_TL174,,
Y19-2595,1,1,2,3,172,192,198,214,WG19-00071,RT015_TL174.1.1.2.2.172.192,RT015_TL174,,
Y1,1,1,2,2,2,161,166,176,WG19-00056,RT015_TL174.1.1.2.2.2.161,RT015_TL174,,
Y4348,1,1,2,2,2,161,166,176,WG19-00056,RT015_TL174.1.1.2.2.2.161,RT015_TL174,,
Y3062A,1,1,2,2,2,170,176,188,WG19-00063,RT015_TL174.1.1.2.2.2.170,RT015_TL174,,
Y3062B,1,1,2,2,2,170,176,188,WG19-00063,RT015_TL174.1.1.2.2.2.170,RT015_TL174,,
Y3062C,1,1,2,2,2,170,176,188,WG19-00063,RT015_TL174.1.1.2.2.2.170,RT015_TL174,,
59a700ff-5b72-4e5c-9d78-23bbbe8a7630,1,1,2,2,2,18,18,18,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
9784da66-9f64-4ade-8ea4-3c184c9a7bf9,1,1,2,2,2,18,18,18,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
a6fd3864-d940-4165-b3ee-1a432877a3da,1,1,2,2,2,18,18,24,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
bb373c64-6817-46a0-a411-c9f0dc898768,1,1,2,2,2,18,18,26,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
e4b79529-b604-448b-a273-1dc8fbfef36e,1,1,2,2,2,18,18,212,WG19-00021,RT015_TL174.1.1.2.2.2.18,RT015_TL174,,
034d5a20-3f40-4e09-afe0-b14330ffafe4,1,1,2,2,2,2,2,2,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
40d88a5a-46bf-47f3-a8d4-b5f76834143d,1,1,2,2,2,2,2,2,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
D1010,1,1,2,2,2,2,27,29,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
1149_SP,1,1,2,2,2,2,58,60,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
1149_W,1,1,2,2,2,2,58,61,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
143,1,1,2,2,2,2,81,85,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
146,1,1,2,2,2,2,81,85,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
D2022,1,1,2,2,2,2,81,85,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
D2055,1,1,2,2,2,2,114,119,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
D2681,1,1,2,2,2,2,114,119,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
TC_D211,1,1,2,2,2,2,27,29,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,,
Y19-2835,1,1,2,2,2,2,223,246,WG19-00017,RT015_TL174.1.1.2.2.2.2,RT015_TL174,1247,2019-08-21
Y19-2732,1,1,2,2,2,212,218,239,WG19-00072,RT015_TL174.1.1.2.2.2.212,RT015_TL174,,
Y19-2732,1,1,2,2,2,212,218,239,WG19-00072,RT015_TL174.1.1.2.2.2.212,RT015_TL174,1340,2019-08-18
1161.r1,1,1,2,3,54,57,59,62,WG19-00078,RT015_TL174.1.1.2.2.3.57,RT015_TL174,,
1177,1,1,2,3,54,57,59,62,WG19-00078,RT015_TL174.1.1.2.2.3.57,RT015_TL174,,
1180-RPT,1,1,2,3,54,57,59,62,WG19-00078,RT015_TL174.1.1.2.2.3.57,RT015_TL174,,
119,1,1,2,3,3,64,66,69,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
TC_D1819,1,1,2,3,3,64,131,136,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2143,1,1,2,3,3,162,167,178,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2210LG,1,1,2,3,3,163,168,179,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2210LG.r1,1,1,2,3,3,163,168,179,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2210SM,1,1,2,3,3,163,168,179,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y2376,1,1,2,3,3,64,170,181,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-2966,1,1,2,2,3,64,66,251,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,0927,2019-08-31
Y19-3129R,1,1,2,2,3,64,66,254,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1117,2019-09-11
Y19-3129SP,1,1,2,2,3,64,66,254,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1117,2019-09-11
Y19-3208,1,1,2,2,3,64,66,251,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1037,2019-09-16
Y19-3207,1,1,2,2,3,64,66,251,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1157,2019-09-16
Y19-3208,1,1,2,2,3,64,66,251,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,1157,2019-09-16
0865fed8-64f8-40fd-bdf7-996ca28517c7,1,1,2,3,3,3,3,3,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
15f5d864-de71-4211-a0e3-22d94d342c54,1,1,2,3,3,5,5,5,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
1061,1,1,2,3,3,45,46,48,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
1187,1,1,2,3,3,60,62,65,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
1189-QA,1,1,2,3,3,60,62,65,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-1586,1,1,2,3,134,144,147,154,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-1586.r1,1,1,2,3,134,144,147,154,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-2005,1,1,2,3,3,64,131,136,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
Y19-2007,1,1,2,3,3,64,131,136,WG19-00068,RT015_TL174.1.1.2.2.3.64,RT015_TL174,,
D926,1,1,2,2,35,38,39,41,WG19-00023,RT015_TL174.1.1.2.2.35.38,RT015_TL174,,
403A,1,1,2,2,35,38,39,41,WG19-00023,RT015_TL174.1.1.2.2.35.38,RT015_TL174,,
403B,1,1,2,2,35,38,39,41,WG19-00023,RT015_TL174.1.1.2.2.35.38,RT015_TL174,,
TC_D151,1,1,2,2,35,38,39,41,WG19-00023,RT015_TL174.1.1.2.2.35.38,RT015_TL174,,
1225,1,1,2,2,35,68,70,74,WG19-00034,RT015_TL174.1.1.2.2.35.68,RT015_TL174,,
1226,1,1,2,2,35,68,70,74,WG19-00034,RT015_TL174.1.1.2.2.35.68,RT015_TL174,,
1116,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,,
134,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,,
1689,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,,
Y19-2173,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,,
Y19-3218,1,1,2,2,49,52,53,55,WG19-00026,RT015_TL174.1.1.2.2.49.52,RT015_TL174,1052,2019-09-17
1325,1,1,2,46,55,58,60,63,WG19-00069,RT015_TL174.1.1.2.2.55.58,RT015_TL174,,
1181,1,1,2,46,55,58,60,63,WG19-00069,RT015_TL174.1.1.2.2.55.58,RT015_TL174,,
1320,1,1,2,2,64,70,72,76,WG19-00035,RT015_TL174.1.1.2.2.64.70,RT015_TL174,,
993-R,1,1,2,2,64,70,72,116,WG19-00035,RT015_TL174.1.1.2.2.64.70,RT015_TL174,,
