y_number,reference_name,original_id,new_t250,new_t100,new_t50,new_t25,new_t10,new_t5,new_t2,new_t0,new_clustercode,new_clustercode_frequency,new_wg_number,new_clustercode_updated,new_data,old_clustercode,old_t250,old_t100,old_t50,old_t25,old_t10,old_t5,old_t2,old_t0,old_wg_number,old_clustercode_frequency,UPDATED
Y19-3047_190909-1457,RT015_TL174,,1,1,2,109,144,156,161,171,RT015_TL174.1.1.2.109.144.156,3,WG19-00052,2019-12-03 16:00:04.271379,,NA,,,,,,,,,,,
Y19-3205-SP_190916-1157,RT015_TL174,,1,1,2,147,197,224,233,260,RT015_TL174.1.1.2.147.197.224,4,WG19-00072,2019-12-03 16:00:04.275055,,NA,,,,,,,,,,,
3205-SP_190916-1157,RT015_TL174,,1,1,2,147,197,224,233,260,RT015_TL174.1.1.2.147.197.224,4,WG19-00072,2019-12-03 16:00:04.386216,,NA,,,,,,,,,,,
Y19-3205-R_190916-1157,RT015_TL174,,1,1,2,147,197,224,233,260,RT015_TL174.1.1.2.147.197.224,4,WG19-00072,2019-12-03 16:00:04.388361,,NA,,,,,,,,,,,
3205-R_190916-1157,RT015_TL174,,1,1,2,147,197,224,233,260,RT015_TL174.1.1.2.147.197.224,4,WG19-00072,2019-12-03 16:00:04.389770,,NA,,,,,,,,,,,
TC_D1709,RT015_TL174,,1,1,2,2,120,127,130,135,RT015_TL174.1.1.2.2.120.127,2,WG19-00068,2019-12-03 16:00:04.210779,,RT015_TL174.1.1.2.91.120.127,1,1,2,91,120,127,130,135,WG19-00047,2,wg_number;t25;clustercode
Y2421,RT015_TL174,,1,1,2,2,120,127,130,135,RT015_TL174.1.1.2.2.120.127,2,WG19-00068,2019-12-03 16:00:04.230557,,RT015_TL174.1.1.2.91.120.127,1,1,2,91,120,127,130,135,WG19-00047,2,wg_number;t25;clustercode
Y19-2188,RT015_TL174,,1,1,2,2,172,192,198,214,RT015_TL174.1.1.2.2.172.192,2,WG19-00069,2019-12-03 16:00:04.253342,,RT015_TL174.1.1.2.3.172.192,1,1,2,3,172,192,198,214,WG19-00056,2,wg_number;t25;clustercode
Y19-2595,RT015_TL174,,1,1,2,2,172,192,198,214,RT015_TL174.1.1.2.2.172.192,2,WG19-00069,2019-12-03 16:00:04.258230,,RT015_TL174.1.1.2.3.172.192,1,1,2,3,172,192,198,214,WG19-00056,2,wg_number;t25;clustercode
Y19-2835_190821-1247,RT015_TL174,,1,1,2,2,2,2,223,246,RT015_TL174.1.1.2.2.2.2,12,WG19-00015,2019-12-03 16:00:04.266112,,NA,,,,,,,,,,,
Y19-2732,RT015_TL174,,1,1,2,2,2,212,218,239,RT015_TL174.1.1.2.2.2.212,2,WG19-00070,2019-12-03 16:00:04.260650,,S,1,1,2,2,2,212,218,239,WG19-00000,1,wg_number;clustercode_frequency;clustercode
Y19-2732_190818-1340,RT015_TL174,,1,1,2,2,2,212,218,239,RT015_TL174.1.1.2.2.2.212,2,WG19-00070,2019-12-03 16:00:04.261937,,NA,,,,,,,,,,,
1161.r1,RT015_TL174,,1,1,2,2,3,57,59,62,RT015_TL174.1.1.2.2.3.57,3,WG19-00076,2019-12-03 16:00:04.373166,,RT015_TL174.1.1.2.3.54.57,1,1,2,3,54,57,59,62,WG19-00026,3,wg_number;t25;t10;clustercode
1177,RT015_TL174,,1,1,2,2,3,57,59,62,RT015_TL174.1.1.2.2.3.57,3,WG19-00076,2019-12-03 16:00:04.375701,,RT015_TL174.1.1.2.3.54.57,1,1,2,3,54,57,59,62,WG19-00026,3,wg_number;t25;t10;clustercode
1180-RPT,RT015_TL174,,1,1,2,2,3,57,59,62,RT015_TL174.1.1.2.2.3.57,3,WG19-00076,2019-12-03 16:00:04.377399,,RT015_TL174.1.1.2.3.54.57,1,1,2,3,54,57,59,62,WG19-00026,3,wg_number;t25;t10;clustercode
119,RT015_TL174,,1,1,2,2,3,64,66,69,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.182840,,RT015_TL174.1.1.2.3.3.64,1,1,2,3,3,64,66,69,WG19-00031,5,wg_number;clustercode_frequency;t25;clustercode
TC_D1819,RT015_TL174,,1,1,2,2,3,64,131,136,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.212015,,RT015_TL174.1.1.2.3.3.64,1,1,2,3,3,64,131,136,WG19-00031,5,wg_number;clustercode_frequency;t25;clustercode
Y2143,RT015_TL174,,1,1,2,2,3,64,167,178,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.224023,,S,1,1,2,3,3,162,167,178,WG19-00000,1,wg_number;clustercode_frequency;t25;clustercode;t5
Y2210LG,RT015_TL174,,1,1,2,2,3,64,168,179,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.225368,,RT015_TL174.1.1.2.3.3.163,1,1,2,3,3,163,168,179,WG19-00055,3,wg_number;clustercode_frequency;t25;clustercode;t5
Y2210LG.r1,RT015_TL174,,1,1,2,2,3,64,168,179,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.226501,,RT015_TL174.1.1.2.3.3.163,1,1,2,3,3,163,168,179,WG19-00055,3,wg_number;clustercode_frequency;t25;clustercode;t5
Y2210SM,RT015_TL174,,1,1,2,2,3,64,168,179,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.227552,,RT015_TL174.1.1.2.3.3.163,1,1,2,3,3,163,168,179,WG19-00055,3,wg_number;clustercode_frequency;t25;clustercode;t5
Y2376,RT015_TL174,,1,1,2,2,3,64,170,181,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.229275,,RT015_TL174.1.1.2.3.3.64,1,1,2,3,3,64,170,181,WG19-00031,5,wg_number;clustercode_frequency;t25;clustercode
Y19-2966_190831-0927,RT015_TL174,,1,1,2,2,3,64,66,251,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.270055,,NA,,,,,,,,,,,
Y19-3129R_190911-1117,RT015_TL174,,1,1,2,2,3,64,66,254,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.272654,,NA,,,,,,,,,,,
Y19-3129SP_190911-1117,RT015_TL174,,1,1,2,2,3,64,66,254,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.323257,,NA,,,,,,,,,,,
Y19-3208_190916-1037,RT015_TL174,,1,1,2,2,3,64,66,251,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.324770,,NA,,,,,,,,,,,
Y19-3207_190916-1157,RT015_TL174,,1,1,2,2,3,64,66,251,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.326284,,NA,,,,,,,,,,,
Y19-3208_190916-1157,RT015_TL174,,1,1,2,2,3,64,66,251,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.327421,,NA,,,,,,,,,,,
0865fed8-64f8-40fd-bdf7-996ca28517c7,RT015_TL174,,1,1,2,2,3,64,3,3,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.352706,,S,1,1,2,3,3,3,3,3,WG19-00000,1,wg_number;clustercode_frequency;t25;clustercode;t5
15f5d864-de71-4211-a0e3-22d94d342c54,RT015_TL174,,1,1,2,2,3,64,5,5,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.355780,,S,1,1,2,3,3,5,5,5,WG19-00000,1,wg_number;clustercode_frequency;t25;clustercode;t5
1061,RT015_TL174,,1,1,2,2,3,64,46,48,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.365223,,S,1,1,2,3,3,45,46,48,WG19-00000,1,wg_number;clustercode_frequency;t25;clustercode;t5
1187,RT015_TL174,,1,1,2,2,3,64,62,65,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.381408,,RT015_TL174.1.1.2.3.3.60,1,1,2,3,3,60,62,65,WG19-00029,2,wg_number;clustercode_frequency;t25;clustercode;t5
1189-QA,RT015_TL174,,1,1,2,2,3,64,62,65,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.383333,,RT015_TL174.1.1.2.3.3.60,1,1,2,3,3,60,62,65,WG19-00029,2,wg_number;clustercode_frequency;t25;clustercode;t5
